36322_at
41567_at
35135_at
32753_at
41678_at
38679_g_at
31897_at
2012_s_at
1507_s_at
40817_at
35880_at
39898_at
40081_at
34189_at
37303_at
41388_at
38800_at
35474_s_at
36029_at
41314_at
1024_at
41579_s_at
222_at
38688_at
33705_at
40785_g_at
1454_at
40647_at
33548_f_at
35463_at
34517_at
1610_s_at
38189_s_at
40530_at
34294_at
2083_at
38020_at
37529_at
1439_s_at
32919_at
40532_at
41363_at
39364_s_at
39409_at
31345_at
39202_at
34793_s_at
41670_at
40344_at
32215_i_at
41086_at
38339_at
32625_at
40533_at
37183_at
34620_at
36176_at
35729_at
34905_at
34699_at
