FUT7
TCF15
CCDC130
SF3B3
EPHB2
SNRPE
FILIP1L
PRKDC
EDNRA
NUCB1
KIF5A
FAM13C
PLTP
SETDB1
PARP4
MEIS2
STMN2
COL1A1
MPPED2
CS
CYP1A1
PRKCI
EXT1
POGZ
PDE4B
PPP2R5C
SMAD3
XK
FUT2
HESX1
HMGCS1
DHFR
DEPDC5
APBB2
KIFC3
CCKBR
ATG13
CACNA1H
MAPKAPK2
AMIGO2
BIRC5
GEMIN2
PPP1R3C
C1R
TMPRSS11D
TRAF3IP1
PLS3
DESI1
NLGN1
RHOBTB3
RGS20
BBOX1
NPR1
BIRC5
GAD1
PAX5
TBCC
MYO1D
GRIK5
CD2AP
